,Unnamed: 0,attributes.shape,attributes.height,attributes.cosparId,attributes.depth,attributes.diameter,attributes.span,attributes.width,attributes.objectClass,discos_id,norad,CrossSection_disco,Reentry Data URL,Reentry Status,OBJECT_NUMBER,INTLDES,OBJECT_ID,RCS,RCS_SIZE,COUNTRY,MSG_EPOCH,DECAY_EPOCH,SOURCE,MSG_TYPE,PRECEDENCE,Space Track Reentry Uncertainity (hr),Observed Reentry Date (UTC),Object Name,International Designator,TLE Epoch (UTC),Aerospace Reentry Prediction (UTC),Aerospace Stated Uncertainty 25% Rule (+/- hrs),Country of Origin,Sighting Location,Sighting Latitude,Sighting Longitude,Debris Recovery Location,Recovery Latitude,Recovery Longitude,Aerospace Prediction TLE Epoch (UTC),Reentry Year,Type,Object_Name,Discos Object Name,DryMass
28,36,,,1960-005D,,,,,Payload Mission Related Object,37,37.0,,/api/objects/37/reentry,reentry,37,1960-005D,1960-005D,0,,CIS,,1961-06-30,satcat,Historical,1,,,,,,,,,,,,,,,,1961.0,S,SPUTNIK 4 DEB,SPUTNIK 4 OPERATIONAL DEBRIS,0.0
29,37,,,1960-005E,,,,,Payload Mission Related Object,38,38.0,,/api/objects/38/reentry,reentry,38,1960-005E,1960-005E,0,,CIS,,1960-08-20,satcat,Historical,1,,,,,,,,,,,,,,,,1960.0,S,SPUTNIK 4 DEB,SPUTNIK 4 OPERATIONAL DEBRIS,0.0
30,38,,,1960-005F,,,,,Payload Mission Related Object,39,39.0,,/api/objects/39/reentry,reentry,39,1960-005F,1960-005F,0,,CIS,,1960-09-24,satcat,Historical,1,,,,,,,,,,,,,,,,1960.0,S,SPUTNIK 4 DEB,SPUTNIK 4 OPERATIONAL DEBRIS,0.0
31,39,,,1960-005G,,,,,Payload Mission Related Object,40,40.0,,/api/objects/40/reentry,reentry,40,1960-005G,1960-005G,0,,CIS,,1960-09-24,satcat,Historical,1,,,,,,,,,,,,,,,,1960.0,S,SPUTNIK 4 DEB,SPUTNIK 4 OPERATIONAL DEBRIS,0.0
32,40,,,1960-005H,,,,,Payload Mission Related Object,41,41.0,,/api/objects/41/reentry,reentry,41,1960-005H,1960-005H,0,,CIS,,1960-09-30,satcat,Historical,1,,,,,,,,,,,,,,,,1960.0,S,SPUTNIK 4 DEB,SPUTNIK 4 OPERATIONAL DEBRIS,0.0
33,41,,,1960-005J,,,,,Payload Mission Related Object,42,42.0,,/api/objects/42/reentry,reentry,42,1960-005J,1960-005J,0,,CIS,,1960-10-01,satcat,Historical,1,,,,,,,,,,,,,,,,1960.0,S,SPUTNIK 4 DEB,SPUTNIK 4 OPERATIONAL DEBRIS,0.0
51,68,,,1960-014C,,,,,Rocket Mission Related Object,69,69.0,,/api/objects/69/reentry,reentry,69,1960-014C,1960-014C,0,,US,,1970-02-16,satcat,Historical,1,,,,,,,,,,,,,,,,1970.0,R,JUNO II DEB,JUNO II OPERATIONAL DEBRIS,0.0
60,77,,,1961-003D,,,,,Rocket Mission Related Object,78,78.0,,/api/objects/78/reentry,reentry,78,1961-003D,1961-003D,0,,CIS,,1961-02-18,satcat,Historical,1,,,,,,,,,,,,,,,,1961.0,R,SL-6 DEB,MOLNIYA OPERATIONAL DEBRIS,0.0
64,84,,,1961-004D,,,,,Rocket Mission Related Object,86,86.0,,/api/objects/86/reentry,reentry,86,1961-004D,1961-004D,0,,US,,1961-06-30,satcat,Historical,1,,,,,,,,,,,,,,,,1961.0,R,SCOUT X-1 DEB,SCOUT X-1 OPERATIONAL DEBRIS,0.0
71,91,,,1961-008C,,,,,Payload Mission Related Object,93,93.0,,/api/objects/93/reentry,reentry,93,1961-008C,1961-008C,0,,CIS,,1961-03-10,satcat,Historical,1,,,,,,,,,,,,,,,,1961.0,S,SPUTNIK 9 DEB,SPUTNIK 9 OPERATIONAL DEBRIS,0.0
72,92,,,1961-008D,,,,,Payload Mission Related Object,94,94.0,,/api/objects/94/reentry,reentry,94,1961-008D,1961-008D,0,,CIS,,1961-03-10,satcat,Historical,1,,,,,,,,,,,,,,,,1961.0,S,SPUTNIK 9 DEB,SPUTNIK 9 OPERATIONAL DEBRIS,0.0
75,95,,,1961-009C,,,,,Rocket Mission Related Object,97,97.0,,/api/objects/97/reentry,reentry,97,1961-009C,1961-009C,0,,CIS,,1961-03-26,satcat,Historical,1,,,,,,,,,,,,,,,,1961.0,R,SL-3 DEB,VOSTOK OPERATIONAL DEBRIS,0.0
77,97,,,1960-003D,,,,,Rocket Mission Related Object,99,99.0,,/api/objects/99/reentry,reentry,99,1960-003D,1960-003D,0,SMALL,US,,1979-07-15,satcat,Historical,1,,,,,,,,,,,,,,,,1979.0,R,THOR ABLESTAR DEB,THOR ABLESTAR OPERATIONAL DEBRIS,0.0
83,103,,,1960-014D,,,,,Rocket Mission Related Object,105,105.0,,/api/objects/105/reentry,reentry,105,1960-014D,1960-014D,0,,US,,1972-03-03,satcat,Historical,1,,,,,,,,,,,,,,,,1972.0,R,JUNO II DEB,JUNO II OPERATIONAL DEBRIS,0.0
86,107,,,1961-014B,,,,,Payload Mission Related Object,109,109.0,,/api/objects/109/reentry,reentry,109,1961-014B,1961-014B,0,,US,,1961-06-19,satcat,Historical,1,,,,,,,,,,,,,,,,1961.0,S,DISCOVERER 25 DEB,DISCOVERER 25 OPERATIONAL DEBRIS,0.0
90,127,,,1961-015P,,,,,Rocket Fragmentation Debris,129,129.0,,/api/objects/129/reentry,reentry,129,1961-015P,1961-015P,0,MEDIUM,US,,1981-08-31,satcat,Historical,1,,,,,,,,,,,,,,,,1981.0,R,THOR ABLESTAR DEB,THOR ABLESTAR FRAGMENTATION DEBRIS,0.0
91,133,,,1961-015V,,,,,Rocket Fragmentation Debris,135,135.0,,/api/objects/135/reentry,reentry,135,1961-015V,1961-015V,0,MEDIUM,US,,2002-04-17,satcat,Historical,1,,,,,,,,,,,,,,,,2002.0,R,THOR ABLESTAR DEB,THOR ABLESTAR FRAGMENTATION DEBRIS,0.0
92,135,,,1961-015X,,,,,Rocket Fragmentation Debris,137,137.0,,/api/objects/137/reentry,reentry,137,1961-015X,1961-015X,0,SMALL,US,,1980-12-15,satcat,Historical,1,,,,,,,,,,,,,,,,1980.0,R,THOR ABLESTAR DEB,THOR ABLESTAR FRAGMENTATION DEBRIS,0.0
93,137,,,1961-015Z,,,,,Rocket Fragmentation Debris,139,139.0,,/api/objects/139/reentry,reentry,139,1961-015Z,1961-015Z,0,MEDIUM,US,,1978-07-08,satcat,Historical,1,,,,,,,,,,,,,,,,1978.0,R,THOR ABLESTAR DEB,THOR ABLESTAR FRAGMENTATION DEBRIS,0.0
