,Unnamed: 0,attributes.shape,attributes.height,attributes.cosparId,attributes.depth,attributes.diameter,attributes.span,attributes.width,attributes.objectClass,discos_id,norad,CrossSection_disco,Reentry Data URL,Reentry Status,OBJECT_NUMBER,INTLDES,OBJECT_ID,RCS,RCS_SIZE,COUNTRY,MSG_EPOCH,DECAY_EPOCH,SOURCE,MSG_TYPE,PRECEDENCE,Space Track Reentry Uncertainity (hr),Observed Reentry Date (UTC),Object Name,International Designator,TLE Epoch (UTC),Aerospace Reentry Prediction (UTC),Aerospace Stated Uncertainty 25% Rule (+/- hrs),Country of Origin,Sighting Location,Sighting Latitude,Sighting Longitude,Debris Recovery Location,Recovery Latitude,Recovery Longitude,Aerospace Prediction TLE Epoch (UTC),Reentry Year,Type,Object_Name,Discos Object Name,DryMass
0,0,Cyl,28.0,1957-001A,,2.6,28.0,,Rocket Body,1,1.0,59.8316320876176,/api/objects/1/reentry,reentry,1,1957-001A,1957-001A,0,LARGE,CIS,,1957-12-01 00:00:00,satcat,Historical,1,,,,,,,,,,,,,,,,1957.0,R,SL-1 R/B,SPUTNIK (8K71PS) BLOK-A,3964.32
1,1,Sphere,0.58,1957-001B,0.58,,0.58,0.58,Payload,2,2.0,0.2642,/api/objects/2/reentry,reentry,2,1957-001B,1957-001B,0,,CIS,,1958-01-03 00:00:00,satcat,Historical,1,,,,,,,,,,,,,,,,1958.0,S,SPUTNIK 1,SPUTNIK 1,82.85
2,2,Cone + Cyl,2.0,1957-002A,,1.0,2.0,,Payload,3,3.0,1.96349540849362,/api/objects/3/reentry,reentry,3,1957-002A,1957-002A,0,SMALL,CIS,,1958-04-14 00:00:00,satcat,Historical,1,,,,,,,,,,,,,,,,1958.0,S,SPUTNIK 2,SPUTNIK 2,503.77
3,3,Cyl,2.03,1958-001A,,0.15,2.03,,Payload,4,4.0,0.247989470092744,/api/objects/4/reentry,reentry,4,1958-001A,1958-001A,0,,US,,1970-03-31 00:00:00,satcat,Historical,1,,,,,,,,,,,,,,,,1970.0,S,EXPLORER 1,EXPLORER 1,13.88
4,5,Cyl,2.03,1958-003A,,0.15,2.03,,Payload,6,6.0,0.247989470092744,/api/objects/6/reentry,reentry,6,1958-003A,1958-003A,0,,US,,1958-06-28 00:00:00,satcat,Historical,1,,,,,,,,,,,,,,,,1958.0,S,EXPLORER 3,EXPLORER 3,13.88
5,6,Cyl,28.0,1958-004A,,2.99,28.0,,Rocket Body,7,7.0,69.2643032999291,/api/objects/7/reentry,reentry,7,1958-004A,1958-004A,0,,CIS,,1958-12-03 00:00:00,satcat,Historical,1,,,,,,,,,,,,,,,,1958.0,R,SL-1 R/B,SPUTNIK (8A91) BLOK-A,3964.32
6,7,Cone,3.57,1958-004B,3.57,,3.57,1.73,Payload,8,8.0,3.0832,/api/objects/8/reentry,reentry,8,1958-004B,1958-004B,0,LARGE,CIS,,1960-04-06 00:00:00,satcat,Historical,1,,,,,,,,,,,,,,,,1960.0,S,SPUTNIK 3,SPUTNIK 3,1315.16
7,8,Cyl,2.03,1958-005A,,0.15,2.03,,Payload,9,9.0,0.247989470092744,/api/objects/9/reentry,reentry,9,1958-005A,1958-005A,0,,US,,1959-10-23 00:00:00,satcat,Historical,1,,,,,,,,,,,,,,,,1959.0,S,EXPLORER 4,EXPLORER 4,17.34
8,9,Cyl,,1958-006A,,,24.3,,Payload,10,10.0,7.55,/api/objects/10/reentry,reentry,10,1958-006A,1958-006A,0,,US,,1959-01-21 00:00:00,satcat,Historical,1,,,,,,,,,,,,,,,,1959.0,S,SCORE,SCORE,67.39
9,12,Cone + Cyl,5.84,1959-002A,,1.52,5.84,,Payload,13,13.0,7.8791143752032,/api/objects/13/reentry,reentry,13,1959-002A,1959-002A,0,,US,,1959-03-03 00:00:00,satcat,Historical,1,,,,,,,,,,,,,,,,1959.0,S,DISCOVERER 1,DISCOVERER 1,612.49
10,13,Cone + Cyl,5.84,1959-003A,,1.5,5.84,,Payload,14,14.0,7.76366084518378,/api/objects/14/reentry,reentry,14,1959-003A,1959-003A,0,,US,,1959-04-26 00:00:00,satcat,Historical,1,,,,,,,,,,,,,,,,1959.0,S,DISCOVERER 2,DISCOVERER 2,644.2
11,14,Sphere + 4 Pan,0.74,1959-004A,0.74,,0.74,0.66,Payload,15,15.0,0.3701,/api/objects/15/reentry,reentry,15,1959-004A,1959-004A,0,,US,,1961-06-30 00:00:00,satcat,Historical,1,,,,,,,,,,,,,,,,1961.0,S,EXPLORER 6,EXPLORER 6,63.43
12,16,Cyl,1.5,1959-004B,,0.5,1.5,,Rocket Body,17,17.0,0.687223392972767,/api/objects/17/reentry,reentry,17,1959-004B,1959-004B,0,SMALL,US,,1961-06-30 00:00:00,satcat,Historical,1,,,,,,,,,,,,,,,,1961.0,R,THOR ABLE R/B,ALTAIR 1 (THOR-ABLE),23.79
13,17,Cone + Cyl,5.84,1959-005A,,1.52,5.84,,Payload,18,18.0,7.8791143752032,/api/objects/18/reentry,reentry,18,1959-005A,1959-005A,0,,US,,1959-09-28 00:00:00,satcat,Historical,1,,,,,,,,,,,,,,,,1959.0,S,DISCOVERER 5,DISCOVERER 5,634.29
14,18,Cone + Cyl,5.84,1959-006A,,1.52,5.84,,Payload,19,19.0,7.8791143752032,/api/objects/19/reentry,reentry,19,1959-006A,1959-006A,0,,US,,1959-10-20 00:00:00,satcat,Historical,1,,,,,,,,,,,,,,,,1959.0,S,DISCOVERER 6,DISCOVERER 6,634.29
15,20,Ell,1.32,1959-008A,1.32,,1.32,1.19,Payload,21,21.0,1.27958264421914,/api/objects/21/reentry,reentry,21,1959-008A,1959-008A,0,,CIS,,1960-04-20 00:00:00,satcat,Historical,1,,,,,,,,,,,,,,,,1960.0,S,LUNA 3,LUNA 3,276.02
16,22,Cyl,1.73,1959-009B,,0.1,1.73,,Rocket Body,23,23.0,0.139800873084746,/api/objects/23/reentry,reentry,23,1959-009B,1959-009B,0,MEDIUM,US,,1989-07-16 00:00:00,satcat,Historical,1,,,,,,,,,,,,,,,,1989.0,R,JUNO II R/B,SERGEANT_1 (JUNO II),5.95
17,23,Cone + Cyl,5.84,1959-010A,,1.52,5.84,,Payload,24,24.0,7.8791143752032,/api/objects/24/reentry,reentry,24,1959-010A,1959-010A,0,,US,,1959-11-26 00:00:00,satcat,Historical,1,,,,,,,,,,,,,,,,1959.0,S,DISCOVERER 7,DISCOVERER 7,654.11
18,24,Cone + Cyl,5.84,1959-011A,,1.52,5.84,,Payload,25,25.0,7.8791143752032,/api/objects/25/reentry,reentry,25,1959-011A,1959-011A,0,,US,,1960-03-08 00:00:00,satcat,Historical,1,,,,,,,,,,,,,,,,1960.0,S,DISCOVERER 8,DISCOVERER 8,654.11
19,25,Cone,0.8,1959-005B,0.8,,0.8,0.7,Payload Mission Related Object,26,26.0,0.4241,/api/objects/26/reentry,reentry,26,1959-005B,1959-005B,0,,US,,1961-02-11 00:00:00,satcat,Historical,1,,,,,,,,,,,,,,,,1961.0,S,DISCOVERER 5 CAPSULE,DISCOVERER 5 SATELLITE RETURN VEHICLE,138.75
